theme_id,Industry,Theme,Companies_Count,Filename,Match_Info
AG_BIO,Agriculture,Biotechnology in Agriculture,75,biotechnology_rd.csv,Fuzzy (86)
AG_AGR,Agriculture,Agribusiness,67,agribusiness.csv,Exact
AG_AG1,Agriculture,Agricultural Processing,23,agricultural_processing.csv,Exact
AG_SUS,Agriculture,Sustainable Agriculture,23,sustainable_agriculture.csv,Exact
AG_AG2,Agriculture,Agriculture Technology,19,agricultural_technology.csv,Fuzzy (93)
AG_PRE,Agriculture,Precision Agriculture,12,precision_agriculture.csv,Exact
AG_BI1,Agriculture,Biotechnology in Agriculture,10,biotechnology_in_agriculture.csv,Exact
AG_CRO,Agriculture,Crop Protection,6,crop_protection.csv,Exact
AU_AUT,Automotive,Automotive Technology,75,automotive_technology.csv,Exact
AU_ELE,Automotive,Electric Vehicles,75,electric_vehicles.csv,Exact
AU_AU1,Automotive,Automobile Manufacturers,68,automobile_manufacturers.csv,Exact
AU_AU2,Automotive,Automotive Electronics,56,automotive_electronics.csv,Exact
AU_AU3,Automotive,Autonomous Vehicles,45,autonomous_vehicles.csv,Exact
AU_AU4,Automotive,Autonomous Driving,40,autonomous_driving.csv,Exact
AU_CON,Automotive,Connected Vehicles,39,connected_vehicles.csv,Exact
AU_VEH,Automotive,Vehicle Software,38,electric_vehicle_charging.csv,Fuzzy (86)
AU_AU5,Automotive,Automotive Semiconductors,36,automotive_semiconductors.csv,Exact
AU_COM,Automotive,Commercial EVs,34,leasing_of_commercial_spaces.csv,Fuzzy (86)
AU_AU6,Automotive,Automotive Telematics,31,automotive_telematics.csv,Exact
AU_VE1,Automotive,Vehicle Software,29,vehicle_software.csv,Exact
AU_EL1,Automotive,Electric Vehicles,28,commercial_electric_vehicles.csv,Fuzzy (90)
AU_AU7,Automotive,Automotive Sensors,24,automotive_screens.csv,Fuzzy (83)
AU_AU8,Automotive,Automotive Steel Products,23,home_products.csv,Fuzzy (86)
AU_AUT_10,Automotive,Automotive Sensors,22,automotive_sensors.csv,Exact
AU_AUT_11,Automotive,Automotive Steel Products,11,automotive_steel_products.csv,Exact
CR_ADV,Consumer and Retail,Advertising,75,advertising.csv,Exact
CR_CON,Consumer and Retail,Consumer Behavior,75,consumer_behavior.csv,Exact
CR_CO1,Consumer and Retail,Consumer Brands,75,consumer_brands.csv,Exact
CR_CO2,Consumer and Retail,Consumer Products,75,consumer_products.csv,Exact
CR_CLO,Consumer and Retail,Clothing And Accessories,75,credit_and_loans.csv,Fuzzy (86)
CR_ECO,Consumer and Retail,E-Commerce,75,electronic_commerce.csv,Fuzzy (80)
CR_CL1,Consumer and Retail,Clothing And Accessories,75,food_and_drinks.csv,Fuzzy (86)
CR_LOY,Consumer and Retail,Loyalty Programs,75,loyalty_programs.csv,Exact
CR_OMN,Consumer and Retail,Omnichannel Strategy,75,omnichannel_strategy.csv,Exact
CR_RET,Consumer and Retail,Retail And Foodservice,75,retail_and_food_service.csv,Fuzzy (98)
CR_RE1,Consumer and Retail,Retail Giant,75,retail_giant.csv,Exact
CR_RE2,Consumer and Retail,Retail Segment,75,retail_segment.csv,Exact
CR_CO3,Consumer and Retail,Consumer Electronics,73,consumer_electronics.csv,Exact
CR_HOM,Consumer and Retail,Home Improvement,67,home_improvement.csv,Exact
CR_ONL,Consumer and Retail,Online Shopping,62,online_shopping.csv,Exact
CR_CL2,Consumer and Retail,Clothing And Accessories,61,clothing_and_accessories.csv,Exact
CR_RE3,Consumer and Retail,Retail Innovation,55,innovation_in_retail.csv,Fuzzy (95)
CR_RE4,Consumer and Retail,Retail Technology Solutions,55,retail_alliances.csv,Fuzzy (86)
CR_GRO,Consumer and Retail,Grocery Retail,53,grocery_retailer.csv,Fuzzy (93)
CR_CO4,Consumer and Retail,Consumer Packaging,49,consumer_packaging.csv,Exact
CR_ON1,Consumer and Retail,Online Marketplace,48,online_marketplace.csv,Exact
CR_RE5,Consumer and Retail,Retail Technology Solutions,47,retail_technology_solutions.csv,Exact
CR_RES,Consumer and Retail,Restaurant Expansion,45,restaurant_expansion.csv,Exact
CR_LEI,Consumer and Retail,Leisure Products,39,leisure_products.csv,Exact
CR_PAC,Consumer and Retail,Packaged Foods,39,packaged_foods.csv,Exact
CR_BEV,Consumer and Retail,Beverage Innovation,38,innovation_in_technological_hardware.csv,Fuzzy (86)
CR_LUX,Consumer and Retail,Luxury Branding,37,luxury_brand.csv,Fuzzy (89)
CR_CO5,Consumer and Retail,Convenience Stores,35,convenience_stores.csv,Exact
